Rutas
R;1000;1900;36.9
R;4700;5340;45.8
R;3500;3700;262.6
R;3700;9000;236.3
R;9120;5000;25.7
R;5152;3400;64.4
R;3400;3450;42.6
R;3100;3200;13.4
R;3600;3602;12
R;4600;4500;10.5
R;6300;6360;5.7
R;5300;5500;47.6
R;5501;3300;74.6
R;3360;8300;73.7
R;8322;8332;46.5
R;8324;4400;64.7
R;4403;5400;36.3
R;5413;5400;12.5
R;6300;1900;57.6
R;5152;8332;85.9
R;1000;6360;367.3
R;4700;5500;37.
R;3500;3300;73.7
R;3700;8300;362.8
R;9120;8332;278.2
R;5152;4400;37.7
R;3400;5400;38.32
R;3100;5413;37.3
R;3600;1900;363.8
R;4600;8332;373.2
R;1900;6300;28.2
R;5340;5300;27.3
R;3700;3300;272.7
R;9000;3360;37.3
R;5000;8322;37.1
R;3400;4400;27.2
R;3450;5400;26.5
R;3200;5400;26.7
R;3602;6300;3.7
R;4500;5152;47.5
